,2,3,4,5
500000,0.7864,0.9816,0.9983,0.9997
1000000,0.7162,0.9635,0.9949,0.9997
1500000,0.6639,0.9493,0.9937,0.9994
2000000,0.6377,0.9395,0.9942,0.9987
2500000,0.6108,0.9329,0.992,0.999
3000000,0.5856,0.9178,0.9897,0.9991
3500000,0.5633,0.9107,0.9881,0.9983
4000000,0.5411,0.9044,0.986,0.9982
4500000,0.5335,0.9002,0.9845,0.9978
5000000,0.5034,0.8989,0.9826,0.9978
5500000,0.4909,0.8914,0.9827,0.9975
6000000,0.4785,0.8847,0.9804,0.9971
6500000,0.4621,0.8889,0.9796,0.9978
7000000,0.4527,0.8846,0.976,0.9978
7500000,0.434,0.8757,0.978,0.997
8000000,0.4286,0.8743,0.9754,0.9977
8500000,0.4237,0.8758,0.9749,0.997
9000000,0.4118,0.8694,0.9726,0.997
9500000,0.4092,0.8714,0.971,0.9952
10000000,0.3859,0.8661,0.972,0.9965
10500000,0.3834,0.8589,0.9708,0.9954
11000000,0.3765,0.8609,0.9728,0.9952
11500000,0.3714,0.8598,0.9699,0.994
12000000,0.3538,0.8566,0.9707,0.9953
12500000,0.3529,0.8509,0.9658,0.9962
13000000,0.3405,0.8553,0.9679,0.9943
13500000,0.3346,0.8464,0.9695,0.9947
14000000,0.331,0.8514,0.9653,0.9942
14500000,0.3249,0.849,0.9661,0.9937
15000000,0.3209,0.8377,0.964,0.9947
15500000,0.3122,0.8436,0.9686,0.9927
16000000,0.312,0.8434,0.9625,0.9937
16500000,0.3017,0.8339,0.9628,0.9933
17000000,0.3015,0.84,0.9644,0.994
17500000,0.2929,0.8401,0.9608,0.9931
18000000,0.2876,0.84,0.9626,0.9915
18500000,0.291,0.8337,0.9576,0.9929
19000000,0.2798,0.8355,0.9601,0.9937
19500000,0.2708,0.8257,0.9559,0.9926
20000000,0.2738,0.8391,0.9609,0.9917
20500000,0.271,0.8241,0.957,0.9937
21000000,0.2633,0.823,0.9621,0.992
21500000,0.2583,0.8301,0.9608,0.9925
22000000,0.2619,0.828,0.9576,0.9922
22500000,0.2547,0.8178,0.9558,0.9912
23000000,0.2524,0.8148,0.9537,0.9906
23500000,0.245,0.8167,0.9533,0.9922
24000000,0.2465,0.8138,0.9533,0.992
24500000,0.2373,0.8214,0.9551,0.9915
25000000,0.2353,0.8099,0.9537,0.9923
25500000,0.2421,0.8115,0.9549,0.9925
26000000,0.2296,0.8076,0.9519,0.9917
26500000,0.2285,0.8043,0.9508,0.9909
27000000,0.2242,0.8071,0.9526,0.9907
27500000,0.2213,0.8063,0.95,0.9909
28000000,0.2236,0.8008,0.9524,0.9917
28500000,0.2084,0.7934,0.9519,0.9897
29000000,0.2152,0.8077,0.9484,0.991
29500000,0.2132,0.8033,0.9472,0.9899
30000000,0.2166,0.8009,0.9503,0.9913
30500000,0.2135,0.8027,0.953,0.9886
31000000,0.2094,0.7927,0.9477,0.991
31500000,0.204,0.796,0.9503,0.9892
32000000,0.2018,0.7942,0.9474,0.9889
32500000,0.2053,0.7922,0.9514,0.9895
33000000,0.1939,0.7918,0.9484,0.9892
33500000,0.1979,0.7837,0.9494,0.9875
34000000,0.2024,0.785,0.9477,0.9899
34500000,0.2051,0.7844,0.949,0.9891
35000000,0.1913,0.7863,0.9455,0.9891
35500000,0.1913,0.7828,0.9456,0.9877
36000000,0.1863,0.7754,0.9496,0.9885
