,2,3,4,5
20000,0.9875,0.9991,1.0,1.0
40000,0.9714,0.9977,1.0,1.0
60000,0.9623,0.9972,0.9998,1.0
80000,0.9549,0.996,0.9997,1.0
100000,0.9366,0.9956,0.9993,0.9999
120000,0.926,0.995,0.9996,1.0
140000,0.9169,0.9952,0.9994,0.9998
160000,0.9129,0.9941,0.9993,1.0
180000,0.8968,0.9914,0.9997,1.0
200000,0.8861,0.9929,0.9992,0.9999
220000,0.8861,0.991,0.999,1.0
240000,0.8684,0.9921,0.9994,1.0
260000,0.8676,0.9901,0.999,0.9998
280000,0.8615,0.9893,0.9988,1.0
300000,0.8548,0.9885,0.9991,0.9999
320000,0.8495,0.989,0.9986,1.0
340000,0.8384,0.9878,0.9985,0.9999
360000,0.8343,0.9864,0.9984,1.0
380000,0.8296,0.9851,0.9983,0.9998
400000,0.8249,0.9829,0.9975,0.9999
420000,0.8242,0.9818,0.9981,0.9997
440000,0.8138,0.9807,0.9988,0.9998
460000,0.8089,0.9849,0.9988,0.9997
480000,0.804,0.9812,0.9981,0.9996
500000,0.7924,0.981,0.9988,1.0
520000,0.795,0.9806,0.998,0.9996
540000,0.7891,0.9797,0.9979,0.9994
560000,0.7917,0.9795,0.9972,0.9997
580000,0.7845,0.9801,0.9985,0.9997
600000,0.7726,0.9805,0.9967,0.9993
620000,0.7724,0.9773,0.998,0.9996
640000,0.7763,0.9755,0.9982,0.9997
660000,0.7599,0.9749,0.9982,0.9996
680000,0.7568,0.9732,0.9977,0.9997
700000,0.7657,0.9742,0.9989,0.9998
720000,0.7541,0.9724,0.9967,0.9999
740000,0.7567,0.9738,0.9977,0.9999
760000,0.752,0.9718,0.9976,0.9996
780000,0.7441,0.9708,0.9967,0.9997
800000,0.7434,0.9715,0.9959,0.9996
820000,0.7406,0.9707,0.9966,0.9998
840000,0.7326,0.9672,0.9966,0.9998
860000,0.7346,0.9699,0.9966,0.9999
880000,0.736,0.9664,0.9956,0.9997
900000,0.7309,0.9692,0.9968,0.9995
920000,0.7214,0.9683,0.9969,0.9997
940000,0.7255,0.9688,0.997,0.9996
960000,0.7184,0.9663,0.9979,0.9997
980000,0.7192,0.9643,0.9973,0.9993
1000000,0.7133,0.9674,0.9965,0.9989
