,2,3,4,5
20000,0.9837,0.9994,0.9999,1.0
40000,0.9717,0.9986,0.9999,1.0
60000,0.96,0.9977,0.9996,1.0
80000,0.946,0.9967,0.9998,1.0
100000,0.9387,0.9954,0.9995,0.9999
120000,0.9349,0.9949,0.9994,0.9999
140000,0.9134,0.9931,0.9997,1.0
160000,0.9068,0.9936,0.9994,1.0
180000,0.8945,0.9919,0.9992,1.0
200000,0.8895,0.9912,0.9993,1.0
220000,0.8751,0.9919,0.9994,1.0
240000,0.8735,0.9903,0.9987,0.9999
260000,0.8584,0.99,0.9991,0.9998
280000,0.8564,0.9868,0.9978,1.0
300000,0.8484,0.9889,0.9985,0.9997
320000,0.8441,0.9869,0.9981,0.9999
340000,0.8411,0.988,0.9985,0.9999
360000,0.8316,0.9844,0.9984,0.9997
380000,0.8257,0.9838,0.9979,0.9998
400000,0.8147,0.9833,0.9989,0.9999
420000,0.812,0.9837,0.9981,0.9996
440000,0.8113,0.9831,0.999,0.9995
460000,0.8081,0.9828,0.9981,0.9998
480000,0.8059,0.979,0.9976,0.9994
500000,0.8035,0.98,0.9975,0.9998
520000,0.7934,0.9791,0.9972,0.9996
540000,0.783,0.978,0.9977,0.9997
560000,0.7818,0.9759,0.9973,0.9999
580000,0.7759,0.974,0.9983,0.9996
600000,0.7735,0.974,0.9977,0.9996
620000,0.7648,0.9771,0.9976,0.9993
640000,0.7666,0.9761,0.9965,0.9999
660000,0.772,0.977,0.9965,0.9998
680000,0.7611,0.9755,0.9973,0.9998
700000,0.7621,0.9717,0.9975,0.9996
720000,0.7495,0.9748,0.9963,0.9993
740000,0.7596,0.9719,0.997,0.9997
760000,0.7559,0.9717,0.9977,0.9999
780000,0.7379,0.9699,0.9968,0.9997
800000,0.7479,0.9719,0.9962,0.9997
820000,0.7388,0.9694,0.9965,0.9997
840000,0.7287,0.9704,0.9965,0.9993
860000,0.7328,0.9673,0.9974,0.9999
880000,0.7281,0.9674,0.9958,0.9996
900000,0.7329,0.9648,0.9954,0.9996
920000,0.7194,0.9659,0.9969,0.9995
940000,0.718,0.9672,0.9964,0.9994
960000,0.7154,0.967,0.9967,0.9996
980000,0.7083,0.9587,0.9966,0.9999
1000000,0.7148,0.9616,0.9954,0.9994
