,2,3,4,5
20000,0.9867,0.9989,1.0,1.0
40000,0.9723,0.998,0.9999,1.0
60000,0.962,0.9975,0.9996,1.0
80000,0.9469,0.9954,0.9993,1.0
100000,0.9358,0.9959,0.9995,1.0
120000,0.9218,0.9948,0.9994,0.9999
140000,0.9156,0.9938,0.9994,1.0
160000,0.9123,0.9918,0.9992,0.9999
180000,0.8975,0.9925,0.9995,0.9998
200000,0.879,0.9927,0.9991,0.9999
220000,0.876,0.9906,0.9993,1.0
240000,0.8742,0.9894,0.9993,0.9999
260000,0.8677,0.988,0.9993,0.9998
280000,0.8551,0.9874,0.9987,0.9998
300000,0.8429,0.986,0.999,1.0
320000,0.8434,0.9866,0.9983,1.0
340000,0.8366,0.9863,0.9985,1.0
360000,0.8322,0.9856,0.9989,0.9998
380000,0.8193,0.985,0.9976,0.9996
400000,0.8182,0.984,0.9986,0.9997
420000,0.8129,0.981,0.9985,0.9998
440000,0.8067,0.9835,0.9984,0.9998
460000,0.7993,0.9808,0.998,0.9998
480000,0.7981,0.9795,0.998,1.0
500000,0.7982,0.9826,0.998,0.9997
520000,0.7909,0.976,0.9976,0.9998
540000,0.7881,0.9786,0.9973,0.9999
560000,0.7802,0.9763,0.9979,0.9998
580000,0.7766,0.9768,0.9978,0.9997
600000,0.7628,0.9763,0.9981,0.9994
620000,0.7759,0.9771,0.9965,0.9992
640000,0.7567,0.9766,0.9979,0.9995
660000,0.7582,0.9743,0.9965,0.9999
680000,0.7551,0.9768,0.9976,0.9994
700000,0.7526,0.9744,0.9967,0.9994
720000,0.7448,0.9714,0.9965,0.9998
740000,0.7472,0.9715,0.9962,0.9997
760000,0.7434,0.9701,0.9977,0.9997
780000,0.7394,0.9727,0.9976,0.9996
800000,0.7408,0.9698,0.9983,0.9998
820000,0.7323,0.9679,0.9968,0.9997
840000,0.7347,0.966,0.9969,0.9996
860000,0.7243,0.9704,0.9954,0.9994
880000,0.7208,0.9641,0.996,0.9995
900000,0.7259,0.9665,0.9956,0.9997
920000,0.7146,0.9661,0.9975,0.9995
940000,0.7202,0.9635,0.9955,0.9998
960000,0.7237,0.9623,0.9969,0.9995
980000,0.7132,0.9623,0.9956,0.9996
1000000,0.7151,0.9654,0.9948,0.9991
