,2,3,4,5
20000,0.9832,0.9991,1.0,1.0
40000,0.9719,0.9987,1.0,0.9999
60000,0.9569,0.9972,0.9999,1.0
80000,0.9454,0.9964,0.9999,1.0
100000,0.9325,0.9965,0.9996,1.0
120000,0.9243,0.9933,0.9995,1.0
140000,0.9147,0.9944,0.9999,0.9998
160000,0.905,0.9937,0.9992,0.9998
180000,0.8979,0.9935,0.9996,0.9999
200000,0.8891,0.9916,0.9992,1.0
220000,0.8812,0.9913,0.9994,0.9999
240000,0.8637,0.992,0.9989,0.9997
260000,0.8616,0.9891,0.9996,1.0
280000,0.8606,0.9868,0.9992,1.0
300000,0.8512,0.9864,0.9987,0.9999
320000,0.8428,0.9885,0.9988,0.9998
340000,0.8411,0.9849,0.9987,1.0
360000,0.8295,0.9847,0.9983,0.9998
380000,0.829,0.9852,0.9984,1.0
400000,0.8173,0.9836,0.9982,0.9997
420000,0.815,0.9813,0.9978,0.9999
440000,0.8099,0.9824,0.9981,1.0
460000,0.8054,0.9819,0.9977,0.9999
480000,0.8019,0.9822,0.9973,0.9998
500000,0.7969,0.9808,0.998,0.9997
520000,0.7887,0.9805,0.9977,0.9998
540000,0.7858,0.9776,0.9977,1.0
560000,0.7878,0.9786,0.9978,0.9998
580000,0.7704,0.9764,0.9976,0.9997
600000,0.772,0.9772,0.9973,0.9993
620000,0.7677,0.9776,0.9979,0.9997
640000,0.7685,0.9766,0.9968,0.9995
660000,0.7596,0.9756,0.9984,0.9998
680000,0.7616,0.9741,0.998,0.9997
700000,0.7578,0.9718,0.9969,0.9996
720000,0.753,0.9775,0.9978,0.9996
740000,0.7464,0.9725,0.9978,0.9996
760000,0.741,0.9718,0.9966,0.9998
780000,0.7413,0.9714,0.9967,0.9995
800000,0.7348,0.9713,0.996,0.9998
820000,0.7308,0.972,0.9967,0.9997
840000,0.7346,0.9696,0.9978,0.9997
860000,0.7317,0.9678,0.9971,0.9997
880000,0.7307,0.9686,0.9972,0.9998
900000,0.7312,0.9661,0.9979,0.9997
920000,0.7217,0.9669,0.9967,0.9998
940000,0.7157,0.9632,0.9964,0.9995
960000,0.7147,0.964,0.9963,0.9999
980000,0.7158,0.9654,0.9961,1.0
1000000,0.7232,0.9638,0.996,0.9998
