,2,3,4,5
20000,0.9844,0.999,0.9999,1.0
40000,0.9754,0.9978,0.9999,1.0
60000,0.9591,0.997,0.9998,1.0
80000,0.9435,0.9969,0.9996,1.0
100000,0.932,0.9959,0.9995,1.0
120000,0.9249,0.9933,0.9998,1.0
140000,0.9187,0.9942,0.9993,0.9998
160000,0.9092,0.9936,0.9997,1.0
180000,0.8961,0.9923,0.999,1.0
200000,0.8879,0.992,0.999,0.9999
220000,0.879,0.99,0.9995,0.9999
240000,0.8712,0.9895,0.9987,0.9999
260000,0.8641,0.9899,0.9991,1.0
280000,0.8587,0.9878,0.9986,0.9999
300000,0.8463,0.9879,0.9991,0.9997
320000,0.8401,0.9882,0.9988,0.9998
340000,0.8331,0.9878,0.9989,0.9998
360000,0.8364,0.9867,0.9984,0.9999
380000,0.8251,0.9823,0.9985,0.9999
400000,0.8183,0.9835,0.9987,1.0
420000,0.8167,0.9817,0.9988,0.9997
440000,0.8092,0.9831,0.9984,1.0
460000,0.8071,0.9836,0.9985,0.9999
480000,0.7953,0.9801,0.9983,0.9998
500000,0.7848,0.9823,0.9982,0.9997
520000,0.7882,0.9796,0.998,0.9997
540000,0.7817,0.979,0.9971,0.9997
560000,0.7764,0.9787,0.9978,0.9998
580000,0.7825,0.976,0.9966,0.9998
600000,0.7708,0.9764,0.9978,0.9998
620000,0.7655,0.9775,0.9974,0.9998
640000,0.7594,0.9778,0.9974,0.9996
660000,0.7643,0.9724,0.9969,0.9997
680000,0.76,0.974,0.9974,0.9999
700000,0.7513,0.9738,0.9969,0.9996
720000,0.7467,0.9744,0.9967,0.9997
740000,0.7507,0.9707,0.9974,0.9998
760000,0.7464,0.9729,0.9972,0.9995
780000,0.7463,0.9702,0.9964,0.9998
800000,0.736,0.9696,0.9972,0.9996
820000,0.7314,0.9689,0.9972,0.9998
840000,0.7308,0.969,0.996,0.9996
860000,0.7281,0.9708,0.9973,0.9998
880000,0.7305,0.9714,0.9967,0.9995
900000,0.7264,0.9661,0.997,0.9995
920000,0.7258,0.9671,0.9966,0.9999
940000,0.7197,0.9635,0.9969,0.9999
960000,0.7121,0.9674,0.9965,0.9999
980000,0.72,0.9665,0.9965,0.9995
1000000,0.7096,0.9654,0.9962,0.999
