,2,3,4,5
20000,0.9854,0.9989,0.9999,1.0
40000,0.971,0.9986,0.9999,1.0
60000,0.9594,0.9968,0.9999,1.0
80000,0.9494,0.9964,0.9999,1.0
100000,0.9351,0.9946,0.9999,0.9999
120000,0.9246,0.9952,0.9996,1.0
140000,0.9168,0.9938,0.9992,1.0
160000,0.899,0.9931,0.9993,0.9998
180000,0.8952,0.9908,0.999,0.9999
200000,0.8986,0.9925,0.9988,0.9998
220000,0.8774,0.9931,0.9991,0.9997
240000,0.8719,0.9896,0.999,0.9999
260000,0.8629,0.9878,0.9993,0.9999
280000,0.8556,0.9887,0.9983,1.0
300000,0.8484,0.9879,0.9994,0.9998
320000,0.8397,0.9851,0.9983,1.0
340000,0.8313,0.9869,0.9989,0.9999
360000,0.8374,0.9835,0.9988,0.9999
380000,0.8192,0.9853,0.9979,0.9998
400000,0.8195,0.985,0.9989,0.9999
420000,0.8042,0.9831,0.9987,0.9997
440000,0.8042,0.9806,0.9985,0.9997
460000,0.8059,0.981,0.9984,0.9997
480000,0.804,0.9832,0.9976,0.9998
500000,0.7914,0.9831,0.9978,0.9996
520000,0.7874,0.9785,0.9981,0.9999
540000,0.7899,0.9802,0.9985,0.9999
560000,0.7797,0.982,0.9977,0.9996
580000,0.7779,0.9788,0.9982,0.9997
600000,0.7711,0.9752,0.9975,0.9997
620000,0.7619,0.9748,0.9982,0.9995
640000,0.7676,0.9718,0.9985,0.9996
660000,0.7586,0.9733,0.998,0.9994
680000,0.7569,0.9742,0.9979,0.9997
700000,0.7596,0.9738,0.9971,0.9998
720000,0.7504,0.9726,0.9974,0.9996
740000,0.7443,0.9705,0.9973,0.9998
760000,0.7523,0.9723,0.9975,0.9998
780000,0.7483,0.9677,0.9966,0.9996
800000,0.7371,0.9688,0.9973,1.0
820000,0.7428,0.9689,0.9966,0.9996
840000,0.7287,0.9723,0.9961,0.9996
860000,0.7206,0.9701,0.9971,0.9997
880000,0.7211,0.9677,0.9962,0.9996
900000,0.7243,0.9679,0.9965,0.9999
920000,0.7267,0.9654,0.9967,0.9996
940000,0.7094,0.9667,0.9968,0.9994
960000,0.7178,0.9643,0.9967,0.9997
980000,0.7091,0.9641,0.9964,0.9998
1000000,0.7157,0.9659,0.9951,0.9996
