,2,3,4,5
20000,0.9865,0.9992,0.9999,1.0
40000,0.9716,0.9973,0.9998,1.0
60000,0.9593,0.9973,0.9994,1.0
80000,0.946,0.9963,0.9998,0.9999
100000,0.9353,0.9954,0.9998,1.0
120000,0.9192,0.9949,0.9997,0.9999
140000,0.9115,0.9937,0.9997,0.9999
160000,0.9031,0.9931,0.9992,0.9999
180000,0.893,0.9913,0.9991,1.0
200000,0.8894,0.9911,0.9991,0.9999
220000,0.8846,0.9907,0.9988,0.9998
240000,0.865,0.9909,0.9988,0.9999
260000,0.8582,0.9875,0.9983,1.0
280000,0.8541,0.9873,0.9988,1.0
300000,0.8452,0.9876,0.9987,1.0
320000,0.8365,0.9857,0.9985,0.9999
340000,0.8304,0.9851,0.9993,0.9997
360000,0.8365,0.9828,0.9982,0.9999
380000,0.8214,0.9827,0.9986,0.9999
400000,0.8136,0.9842,0.9982,1.0
420000,0.8081,0.9832,0.9983,1.0
440000,0.808,0.9818,0.9985,0.9997
460000,0.7948,0.9808,0.9978,0.9995
480000,0.7947,0.9806,0.9978,0.9999
500000,0.78,0.9817,0.9982,0.9999
520000,0.7833,0.9775,0.9975,0.9997
540000,0.7744,0.975,0.9976,0.9997
560000,0.7875,0.9778,0.9978,0.9998
580000,0.7763,0.9763,0.9982,0.9998
600000,0.7635,0.9777,0.9982,0.9998
620000,0.7676,0.9764,0.9976,0.9998
640000,0.7641,0.9785,0.9978,0.9997
660000,0.7642,0.9732,0.9973,0.9996
680000,0.7489,0.9735,0.997,0.9995
700000,0.7482,0.9737,0.9978,0.9995
720000,0.751,0.9718,0.9972,0.9996
740000,0.7409,0.9701,0.9977,0.9996
760000,0.7395,0.9726,0.9957,0.9995
780000,0.7431,0.9713,0.996,0.9997
800000,0.7384,0.9699,0.9975,1.0
820000,0.7378,0.9735,0.9969,0.9997
840000,0.7322,0.9678,0.9969,0.9993
860000,0.734,0.9688,0.9963,0.9995
880000,0.7276,0.9671,0.997,0.9997
900000,0.7208,0.968,0.997,0.9992
920000,0.7212,0.9648,0.9979,0.9997
940000,0.7183,0.9647,0.9967,0.9997
960000,0.7163,0.9653,0.9967,0.9996
980000,0.7113,0.9638,0.9973,0.9995
1000000,0.703,0.9623,0.9972,0.9994
