,2,3,4,5
20000,0.9853,0.9988,1.0,1.0
40000,0.9727,0.9981,0.9999,1.0
60000,0.958,0.9968,0.9996,0.9999
80000,0.9475,0.9954,0.9997,0.9999
100000,0.9354,0.9959,0.9998,1.0
120000,0.9242,0.9947,0.9994,1.0
140000,0.9164,0.9951,0.9991,0.9999
160000,0.9016,0.9934,0.9995,0.9998
180000,0.8904,0.9932,0.9991,0.9999
200000,0.8868,0.992,0.9986,1.0
220000,0.8865,0.9911,0.9989,0.9999
240000,0.8728,0.9913,0.9985,0.9997
260000,0.8625,0.9876,0.9989,0.9997
280000,0.8588,0.987,0.9987,1.0
300000,0.8506,0.9888,0.9987,1.0
320000,0.8472,0.9883,0.9992,0.9999
340000,0.8316,0.9862,0.9992,0.9998
360000,0.8265,0.9855,0.9988,0.9999
380000,0.8285,0.984,0.9987,1.0
400000,0.8183,0.9839,0.9983,0.9998
420000,0.8082,0.983,0.9986,1.0
440000,0.8024,0.9818,0.9975,0.9999
460000,0.7981,0.9819,0.998,0.9996
480000,0.7949,0.982,0.9983,0.9998
500000,0.792,0.9812,0.9984,0.9997
520000,0.7905,0.9785,0.9976,0.9998
540000,0.7896,0.9827,0.9974,0.9999
560000,0.7815,0.9774,0.9975,1.0
580000,0.7746,0.9795,0.9983,0.9999
600000,0.7712,0.9767,0.9982,0.9998
620000,0.7669,0.9756,0.9978,0.9998
640000,0.7658,0.9769,0.9979,0.9997
660000,0.7639,0.9744,0.9975,0.9998
680000,0.7573,0.9718,0.998,0.9999
700000,0.7587,0.9729,0.9972,0.9999
720000,0.7543,0.9713,0.9974,0.9998
740000,0.7469,0.9735,0.9974,0.9997
760000,0.7479,0.9712,0.997,0.9999
780000,0.7393,0.9715,0.9971,0.9997
800000,0.7417,0.9716,0.9977,0.9996
820000,0.7357,0.9735,0.9972,0.9995
840000,0.7343,0.9682,0.9979,0.9995
860000,0.7347,0.9683,0.9964,0.9994
880000,0.7318,0.9675,0.9969,0.9998
900000,0.7229,0.9723,0.9967,0.9996
920000,0.7267,0.964,0.9965,0.9997
940000,0.7238,0.9658,0.9974,0.9993
960000,0.7196,0.9658,0.996,0.9994
980000,0.7183,0.9671,0.9955,0.9994
1000000,0.7137,0.964,0.996,0.9995
