,2,3,4,5
20000,0.9862,0.999,0.9999,1.0
40000,0.9687,0.9979,1.0,1.0
60000,0.9585,0.9972,0.9996,1.0
80000,0.9466,0.9958,0.9999,1.0
100000,0.9354,0.9957,0.9998,1.0
120000,0.9228,0.9937,0.9992,1.0
140000,0.9135,0.9942,0.9993,1.0
160000,0.9023,0.9918,0.9994,0.9998
180000,0.8958,0.9921,0.9988,0.9999
200000,0.8828,0.9929,0.999,0.9997
220000,0.8759,0.9896,0.9991,1.0
240000,0.8652,0.9887,0.9995,1.0
260000,0.8636,0.9903,0.9992,0.9997
280000,0.8555,0.987,0.999,1.0
300000,0.8453,0.986,0.9987,0.9998
320000,0.8419,0.9863,0.9985,0.9997
340000,0.8364,0.9857,0.9973,0.9999
360000,0.827,0.984,0.999,1.0
380000,0.8208,0.9847,0.9982,0.9996
400000,0.81,0.9863,0.9988,0.9998
420000,0.8135,0.9806,0.999,0.9999
440000,0.8073,0.9815,0.9984,0.9999
460000,0.7948,0.981,0.998,0.9999
480000,0.7961,0.9812,0.9977,0.9999
500000,0.7928,0.9808,0.9982,0.9997
520000,0.7925,0.9793,0.9976,0.9998
540000,0.7769,0.9781,0.9982,0.9994
560000,0.7768,0.9754,0.9971,0.9997
580000,0.7754,0.9749,0.9972,1.0
600000,0.7652,0.9753,0.9974,0.9998
620000,0.7703,0.9756,0.9973,0.9997
640000,0.7726,0.9744,0.9975,0.9996
660000,0.7535,0.9744,0.9974,0.9998
680000,0.7536,0.9752,0.997,0.9998
700000,0.7563,0.9717,0.9975,0.9991
720000,0.7451,0.9749,0.9972,0.9997
740000,0.7392,0.9702,0.9974,0.9996
760000,0.7485,0.9705,0.9976,0.9995
780000,0.7346,0.9698,0.997,0.9998
800000,0.7315,0.9677,0.998,0.9997
820000,0.7422,0.9704,0.9974,0.9999
840000,0.734,0.9676,0.9958,0.9996
860000,0.7195,0.9663,0.9967,0.9998
880000,0.7209,0.968,0.9949,0.9997
900000,0.7192,0.9676,0.9954,0.9996
920000,0.7242,0.9632,0.9965,0.9998
940000,0.7184,0.967,0.9957,0.9996
960000,0.7072,0.9653,0.995,0.9995
980000,0.7141,0.9656,0.9958,0.9993
1000000,0.7117,0.9599,0.9969,0.9996
