,2,3,4,5
20000,0.9859,0.9993,0.9999,1.0
40000,0.9751,0.9976,0.9998,1.0
60000,0.9581,0.9961,0.9999,1.0
80000,0.9486,0.9968,0.9995,1.0
100000,0.9334,0.9957,0.9994,0.9999
120000,0.9251,0.9943,0.9995,0.9999
140000,0.9164,0.9947,0.9992,0.9999
160000,0.9058,0.9935,0.9995,0.9999
180000,0.8945,0.9914,0.9993,1.0
200000,0.8914,0.9923,0.9994,1.0
220000,0.8839,0.9902,0.9994,1.0
240000,0.8716,0.9899,0.9987,0.9999
260000,0.8609,0.9904,0.9987,1.0
280000,0.8607,0.9887,0.9988,0.9998
300000,0.8548,0.9892,0.9988,0.9997
320000,0.8418,0.988,0.9986,0.9999
340000,0.8378,0.9859,0.9986,0.9999
360000,0.8274,0.9857,0.9982,0.9995
380000,0.8271,0.9855,0.9984,0.9998
400000,0.8138,0.9839,0.9985,0.9998
420000,0.8137,0.9829,0.9983,1.0
440000,0.8104,0.9826,0.9984,0.9998
460000,0.8073,0.9793,0.9979,1.0
480000,0.8022,0.9811,0.9976,0.9998
500000,0.7894,0.982,0.9983,0.9999
520000,0.7884,0.9796,0.9984,0.9999
540000,0.775,0.9788,0.9974,0.9997
560000,0.7889,0.9791,0.9978,0.9996
580000,0.7772,0.9801,0.9979,1.0
600000,0.7719,0.98,0.9978,0.9999
620000,0.7763,0.9755,0.9981,0.9999
640000,0.7684,0.9754,0.9976,0.9995
660000,0.7689,0.976,0.9985,0.9997
680000,0.768,0.9745,0.998,0.9992
700000,0.7572,0.9746,0.9971,0.9997
720000,0.7515,0.9728,0.9968,0.9997
740000,0.7488,0.9732,0.9971,0.9998
760000,0.746,0.9725,0.9973,0.9993
780000,0.7456,0.9707,0.9976,0.9997
800000,0.7464,0.9727,0.9968,0.9996
820000,0.7349,0.9709,0.9984,0.9997
840000,0.7289,0.9685,0.9961,0.9998
860000,0.7317,0.9691,0.9969,0.9999
880000,0.7322,0.9684,0.9973,0.9994
900000,0.7248,0.9663,0.9964,0.9997
920000,0.724,0.9649,0.9958,0.9997
940000,0.717,0.9653,0.9966,0.9996
960000,0.7102,0.9652,0.9973,0.9998
980000,0.7169,0.9613,0.9963,0.9994
1000000,0.7114,0.9632,0.9962,0.9997
