,2,3,4,5
20000,0.9848,0.9992,0.9998,1.0
40000,0.975,0.998,1.0,0.9999
60000,0.9592,0.9971,0.9998,1.0
80000,0.947,0.9956,0.9999,1.0
100000,0.9398,0.9952,0.9996,1.0
120000,0.9242,0.9955,0.9995,0.9999
140000,0.919,0.9941,0.9993,0.9999
160000,0.9127,0.9925,0.9996,1.0
180000,0.8965,0.993,0.9989,0.9998
200000,0.8913,0.9898,0.9993,0.9999
220000,0.885,0.99,0.999,1.0
240000,0.8687,0.9899,0.9982,0.9997
260000,0.8625,0.9874,0.9988,0.9999
280000,0.8548,0.9875,0.9984,0.9999
300000,0.8477,0.9882,0.999,0.9999
320000,0.8398,0.9866,0.9989,0.9996
340000,0.8454,0.9863,0.9981,0.9999
360000,0.8312,0.986,0.9979,0.9999
380000,0.8268,0.9867,0.9982,1.0
400000,0.8146,0.986,0.9982,1.0
420000,0.8124,0.9831,0.9985,0.9998
440000,0.8017,0.9812,0.9984,0.9999
460000,0.8083,0.9821,0.9973,0.9998
480000,0.7945,0.9825,0.9981,0.9996
500000,0.7968,0.9798,0.998,0.9997
520000,0.79,0.98,0.998,0.9999
540000,0.7791,0.9802,0.9985,0.9997
560000,0.779,0.9785,0.998,0.9998
580000,0.7733,0.9791,0.9982,0.9998
600000,0.7801,0.9778,0.998,0.9997
620000,0.772,0.9782,0.998,0.9994
640000,0.7669,0.9756,0.9969,0.9995
660000,0.758,0.9761,0.9975,0.9997
680000,0.7536,0.975,0.998,0.9996
700000,0.7554,0.975,0.9968,0.9996
720000,0.7541,0.9732,0.997,0.9999
740000,0.7496,0.9744,0.9981,0.9995
760000,0.748,0.9739,0.997,0.9999
780000,0.7459,0.9716,0.9963,0.9993
800000,0.7393,0.9693,0.998,0.9998
820000,0.7301,0.9715,0.9968,0.9998
840000,0.7273,0.9689,0.9959,0.9997
860000,0.7327,0.9694,0.9975,0.9998
880000,0.7325,0.9707,0.9964,0.9996
900000,0.7265,0.969,0.9968,0.9996
920000,0.7268,0.9663,0.9969,0.9998
940000,0.7228,0.9721,0.9966,0.9997
960000,0.7167,0.9648,0.9977,0.9997
980000,0.7226,0.9683,0.9956,0.9995
1000000,0.719,0.9659,0.9957,0.9999
