,2,3,4,5
20000,0.9854,0.9993,1.0,1.0
40000,0.9738,0.9986,1.0,1.0
60000,0.9621,0.997,0.9999,1.0
80000,0.9529,0.9967,0.9996,1.0
100000,0.9394,0.9959,0.9999,1.0
120000,0.929,0.9931,0.9995,0.9999
140000,0.9191,0.9944,0.9996,1.0
160000,0.9055,0.9938,0.9993,0.9998
180000,0.9015,0.9928,0.9994,0.9999
200000,0.8973,0.9924,0.9988,0.9999
220000,0.8818,0.9913,0.9991,0.9999
240000,0.8746,0.9918,0.9995,0.9999
260000,0.8639,0.9878,0.999,1.0
280000,0.8592,0.9902,0.9986,1.0
300000,0.8562,0.986,0.9991,0.9999
320000,0.8403,0.9872,0.9988,1.0
340000,0.8405,0.9886,0.9989,0.9998
360000,0.8329,0.986,0.9994,1.0
380000,0.8318,0.9856,0.9988,0.9997
400000,0.8227,0.9851,0.9989,0.9998
420000,0.8117,0.984,0.9987,0.9996
440000,0.8173,0.981,0.9987,0.9996
460000,0.8105,0.9844,0.9987,0.9999
480000,0.8081,0.9824,0.9986,0.9999
500000,0.8021,0.9832,0.9979,0.9998
520000,0.789,0.9786,0.9981,0.9999
540000,0.7838,0.9795,0.9977,0.9999
560000,0.7842,0.9801,0.998,0.9999
580000,0.7822,0.9789,0.9976,0.9999
600000,0.7764,0.9798,0.9982,1.0
620000,0.7784,0.9797,0.9982,0.9999
640000,0.7652,0.9766,0.9978,0.9997
660000,0.7705,0.9777,0.9977,0.9997
680000,0.7651,0.9751,0.9978,0.9997
700000,0.7589,0.9742,0.9982,1.0
720000,0.7499,0.9745,0.9982,0.9997
740000,0.7521,0.9707,0.9978,0.9997
760000,0.7503,0.9728,0.9977,0.9998
780000,0.7427,0.9715,0.9973,0.9997
800000,0.7365,0.9728,0.9979,0.9996
820000,0.7394,0.9684,0.9966,0.9998
840000,0.7314,0.971,0.9976,0.9997
860000,0.7359,0.9713,0.9965,0.9997
880000,0.7315,0.9698,0.9975,0.9992
900000,0.7292,0.9663,0.9975,0.9998
920000,0.7271,0.9656,0.9963,0.9996
940000,0.7209,0.9691,0.9968,0.9994
960000,0.7267,0.9667,0.9957,0.9996
980000,0.7195,0.9688,0.9969,0.9994
1000000,0.7172,0.965,0.9969,0.9996
