,2,3,4,5
20000,0.9838,0.9988,0.9997,1.0
40000,0.972,0.9984,1.0,1.0
60000,0.955,0.9981,0.9999,1.0
80000,0.9458,0.9966,0.9998,1.0
100000,0.9376,0.9962,0.9998,1.0
120000,0.9217,0.995,0.9999,0.9998
140000,0.9177,0.9942,0.9993,1.0
160000,0.9034,0.9947,0.9992,1.0
180000,0.9002,0.9928,0.9992,0.9997
200000,0.8891,0.9916,0.9996,1.0
220000,0.8785,0.9892,0.9994,1.0
240000,0.8769,0.9899,0.9989,0.9999
260000,0.8642,0.9904,0.9988,0.9999
280000,0.8525,0.9875,0.9993,1.0
300000,0.8526,0.9888,0.9983,0.9998
320000,0.8464,0.9866,0.9983,0.9997
340000,0.8355,0.9847,0.9986,0.9998
360000,0.8316,0.9842,0.9993,0.9999
380000,0.8196,0.9854,0.9987,1.0
400000,0.8197,0.9841,0.9984,0.9997
420000,0.8186,0.9847,0.9983,0.9997
440000,0.8087,0.9827,0.9982,0.9997
460000,0.8035,0.9834,0.9988,1.0
480000,0.7968,0.9822,0.9985,0.9996
500000,0.7938,0.9808,0.9981,0.9999
520000,0.789,0.9787,0.9975,0.9996
540000,0.7841,0.977,0.9983,0.9996
560000,0.7847,0.9795,0.9985,0.9998
580000,0.7744,0.9765,0.9977,0.9996
600000,0.7724,0.9788,0.9974,0.9998
620000,0.7689,0.9779,0.998,0.9998
640000,0.7693,0.9753,0.9972,0.9999
660000,0.7572,0.9768,0.9973,0.9999
680000,0.7625,0.9753,0.9974,0.9999
700000,0.7562,0.9747,0.9969,0.9997
720000,0.7511,0.9734,0.9979,0.9999
740000,0.7488,0.9746,0.9979,0.9998
760000,0.7437,0.9729,0.9974,0.9997
780000,0.7426,0.9728,0.9979,0.9998
800000,0.7441,0.9688,0.9966,1.0
820000,0.74,0.9707,0.9974,0.9999
840000,0.7315,0.9701,0.9969,0.9995
860000,0.7298,0.9671,0.9976,0.9998
880000,0.734,0.9694,0.9972,0.9996
900000,0.7168,0.9714,0.9961,0.9997
920000,0.7292,0.9681,0.995,0.9995
940000,0.717,0.9679,0.9963,0.9996
960000,0.7254,0.9663,0.9968,1.0
980000,0.7055,0.967,0.9968,0.9996
1000000,0.7179,0.9638,0.9973,0.9993
