,2,3,4,5
20000,0.9839,0.9992,1.0,1.0
40000,0.9739,0.999,1.0,1.0
60000,0.9574,0.9974,0.9997,0.9999
80000,0.948,0.9967,0.9998,1.0
100000,0.9364,0.9949,0.9994,1.0
120000,0.9258,0.9949,0.9995,1.0
140000,0.9108,0.9949,0.9995,1.0
160000,0.9076,0.9924,0.9995,0.9999
180000,0.8907,0.9921,0.9995,1.0
200000,0.8856,0.9905,0.9992,1.0
220000,0.8756,0.9891,0.9993,0.9999
240000,0.8648,0.9893,0.9995,1.0
260000,0.8559,0.9901,0.9994,0.9997
280000,0.8587,0.9872,0.9989,0.9998
300000,0.8436,0.9869,0.9988,1.0
320000,0.835,0.9876,0.9984,0.9999
340000,0.8255,0.9866,0.9988,1.0
360000,0.827,0.9874,0.9985,0.9999
380000,0.8259,0.9831,0.998,0.9996
400000,0.812,0.9819,0.9981,1.0
420000,0.8111,0.9817,0.9983,0.9997
440000,0.8093,0.9822,0.9982,0.9999
460000,0.7963,0.9781,0.9992,1.0
480000,0.7963,0.983,0.9985,0.9999
500000,0.7871,0.9804,0.9976,0.9999
520000,0.7785,0.9794,0.9983,0.9997
540000,0.7779,0.979,0.9978,0.9999
560000,0.7848,0.9788,0.999,0.9995
580000,0.7725,0.9764,0.9975,0.9998
600000,0.772,0.9756,0.9977,0.9999
620000,0.7698,0.9747,0.9977,0.9997
640000,0.7641,0.9762,0.9975,0.9994
660000,0.7576,0.9756,0.9973,0.9998
680000,0.7508,0.9752,0.9966,0.9998
700000,0.7625,0.9742,0.9977,0.9993
720000,0.7449,0.9726,0.9969,0.9997
740000,0.7508,0.9729,0.9978,0.9996
760000,0.7483,0.9719,0.9968,0.9993
780000,0.7314,0.9678,0.9973,0.9996
800000,0.7403,0.9708,0.9977,0.9997
820000,0.7349,0.9668,0.9968,0.9993
840000,0.7294,0.9687,0.9958,0.9994
860000,0.7261,0.9683,0.996,0.9994
880000,0.7218,0.9685,0.9963,0.9994
900000,0.7243,0.9679,0.9967,0.9998
920000,0.7278,0.9687,0.9965,0.9993
940000,0.7152,0.9655,0.9964,0.9998
960000,0.7191,0.9631,0.9967,0.9997
980000,0.7157,0.9648,0.9959,0.9995
1000000,0.7059,0.9643,0.9969,0.9995
