,2,3,4,5
20000,0.9883,0.9992,0.9999,1.0
40000,0.9714,0.9978,0.9999,1.0
60000,0.9581,0.9968,0.9999,0.9999
80000,0.9536,0.9965,0.9997,1.0
100000,0.9319,0.9956,0.9999,1.0
120000,0.9303,0.9949,0.9995,1.0
140000,0.9139,0.9935,0.9995,1.0
160000,0.9003,0.994,0.9992,0.9998
180000,0.8917,0.9936,0.9995,1.0
200000,0.885,0.9926,0.9992,0.9999
220000,0.8823,0.9898,0.9989,0.9998
240000,0.8702,0.991,0.9988,0.9999
260000,0.8631,0.9891,0.999,0.9999
280000,0.8504,0.9877,0.9995,1.0
300000,0.8535,0.988,0.9992,1.0
320000,0.8366,0.987,0.9991,1.0
340000,0.8352,0.9878,0.9986,0.9999
360000,0.8295,0.9849,0.999,0.9998
380000,0.8279,0.987,0.9986,0.9999
400000,0.8146,0.9823,0.9986,0.9998
420000,0.8161,0.9822,0.9981,0.9997
440000,0.8022,0.9826,0.9979,0.9997
460000,0.805,0.9821,0.9982,0.9999
480000,0.7932,0.9808,0.998,0.9999
500000,0.7891,0.9785,0.9977,0.9997
520000,0.7968,0.9782,0.9985,0.9995
540000,0.7813,0.978,0.9974,0.9998
560000,0.7738,0.9793,0.9976,0.9997
580000,0.7715,0.9747,0.998,0.9999
600000,0.7761,0.9776,0.9979,0.9996
620000,0.7629,0.9734,0.9975,0.9998
640000,0.7601,0.9753,0.9979,0.9996
660000,0.7528,0.9716,0.9973,0.9997
680000,0.7492,0.9705,0.9986,0.9996
700000,0.7488,0.976,0.9966,0.9998
720000,0.7445,0.9717,0.9979,0.9999
740000,0.7394,0.9691,0.997,0.9996
760000,0.7443,0.9685,0.9961,0.9997
780000,0.7357,0.9705,0.9973,0.9999
800000,0.7313,0.9674,0.9969,0.9997
820000,0.7352,0.9683,0.9963,0.9998
840000,0.7306,0.9687,0.996,1.0
860000,0.7334,0.9654,0.9962,0.9996
880000,0.7308,0.9662,0.9954,0.9995
900000,0.7221,0.9635,0.9976,0.9998
920000,0.7255,0.966,0.9952,0.9995
940000,0.7186,0.9651,0.9974,0.9998
960000,0.7159,0.9666,0.9955,0.9992
980000,0.7123,0.9647,0.996,0.9992
1000000,0.7172,0.9637,0.9962,0.9995
