,2,3,4,5
20000,0.985,0.9988,0.9999,0.9999
40000,0.9764,0.9991,0.9998,1.0
60000,0.9625,0.9964,0.9999,1.0
80000,0.9484,0.9965,0.9998,1.0
100000,0.9386,0.995,0.9993,0.9999
120000,0.9271,0.9946,0.9995,1.0
140000,0.9146,0.9941,0.9997,1.0
160000,0.9111,0.9926,0.9994,0.9999
180000,0.9029,0.9928,0.9992,0.9999
200000,0.8939,0.9916,0.9995,1.0
220000,0.8827,0.9899,0.9995,0.9999
240000,0.8681,0.9893,0.999,0.9998
260000,0.8701,0.9891,0.9988,0.9998
280000,0.8595,0.9883,0.9987,0.9999
300000,0.8525,0.9875,0.9986,0.9998
320000,0.8453,0.9872,0.9986,0.9998
340000,0.831,0.9846,0.9982,0.9999
360000,0.8267,0.9822,0.9984,0.9998
380000,0.8257,0.9862,0.999,0.9997
400000,0.8147,0.9823,0.9983,0.9998
420000,0.8171,0.9825,0.9985,0.9997
440000,0.807,0.9823,0.9979,0.9999
460000,0.8007,0.9819,0.9984,0.9997
480000,0.7933,0.9814,0.9974,0.9998
500000,0.7867,0.9825,0.9983,0.9998
520000,0.7932,0.9799,0.9979,0.9999
540000,0.7832,0.978,0.9981,1.0
560000,0.7757,0.977,0.9981,0.9994
580000,0.7758,0.9788,0.997,0.9999
600000,0.7765,0.9752,0.9977,0.9996
620000,0.7715,0.9751,0.9974,0.9997
640000,0.7649,0.9767,0.9982,0.9998
660000,0.7573,0.9765,0.9967,0.9998
680000,0.7565,0.9722,0.9975,1.0
700000,0.7606,0.972,0.9981,0.9995
720000,0.746,0.9743,0.9974,0.9992
740000,0.7483,0.9713,0.9965,0.9998
760000,0.7435,0.9743,0.9971,0.9996
780000,0.7374,0.9692,0.9959,0.9997
800000,0.7402,0.97,0.9973,0.9998
820000,0.7398,0.9712,0.9968,0.9998
840000,0.7305,0.9685,0.9968,0.9997
860000,0.7338,0.9698,0.9969,0.9998
880000,0.7236,0.9665,0.997,0.9998
900000,0.7332,0.9632,0.9963,0.9998
920000,0.7213,0.9651,0.9968,0.9994
940000,0.7264,0.9626,0.9969,0.9994
960000,0.7179,0.9639,0.9956,0.9999
980000,0.7139,0.9661,0.9961,0.9996
1000000,0.7163,0.9633,0.9962,0.9996
