,2,3,4,5
20000,0.9878,0.9991,0.9998,1.0
40000,0.9753,0.998,0.9998,1.0
60000,0.96,0.9972,0.9998,1.0
80000,0.9486,0.9964,0.9997,1.0
100000,0.9361,0.9948,0.9998,1.0
120000,0.925,0.9955,0.9995,1.0
140000,0.9187,0.9945,0.9993,1.0
160000,0.9027,0.9922,0.9992,0.9999
180000,0.8962,0.9924,0.9999,0.9998
200000,0.8929,0.9906,0.9985,0.9998
220000,0.8802,0.9902,0.9989,0.9999
240000,0.8672,0.9899,0.9992,0.9998
260000,0.8586,0.9882,0.9988,0.9998
280000,0.8484,0.9874,0.9984,0.9999
300000,0.8498,0.9871,0.9991,1.0
320000,0.8375,0.9854,0.9984,1.0
340000,0.8326,0.9884,0.9991,0.9999
360000,0.8282,0.9859,0.9981,0.9997
380000,0.8188,0.9839,0.9989,0.9999
400000,0.8195,0.983,0.9984,0.9998
420000,0.8052,0.9811,0.9977,0.9998
440000,0.803,0.9827,0.9989,0.9997
460000,0.8003,0.9803,0.9979,0.9999
480000,0.7966,0.9794,0.9984,0.9998
500000,0.7847,0.9808,0.9983,0.9995
520000,0.7827,0.9815,0.9978,0.9996
540000,0.783,0.979,0.9975,0.9997
560000,0.7811,0.9788,0.998,1.0
580000,0.7702,0.9785,0.9986,0.9996
600000,0.7665,0.9784,0.9973,0.9995
620000,0.7645,0.9752,0.9982,0.9998
640000,0.765,0.9763,0.9969,0.9996
660000,0.7633,0.9691,0.9973,0.9998
680000,0.7509,0.9767,0.9971,0.9996
700000,0.7527,0.9712,0.9974,0.9999
720000,0.7511,0.974,0.9974,0.9996
740000,0.7384,0.9707,0.9978,0.9995
760000,0.7384,0.9696,0.9974,0.9995
780000,0.7397,0.971,0.9974,0.9994
800000,0.7386,0.9686,0.997,0.9997
820000,0.7324,0.9709,0.9971,0.9995
840000,0.733,0.9683,0.9962,0.9996
860000,0.7326,0.9652,0.9975,0.9996
880000,0.7319,0.966,0.9963,0.9995
900000,0.7243,0.9681,0.9967,0.9998
920000,0.7186,0.9702,0.9955,0.9997
940000,0.7148,0.9651,0.9954,0.9993
960000,0.716,0.9677,0.9965,0.9997
980000,0.7147,0.9649,0.9962,0.9993
1000000,0.7069,0.9621,0.9961,0.9994
