,2,3,4,5
20000,0.9846,0.9994,0.9999,1.0
40000,0.9744,0.9987,1.0,1.0
60000,0.9627,0.997,0.9999,1.0
80000,0.9501,0.9974,0.9996,1.0
100000,0.9358,0.9957,0.9994,0.9999
120000,0.9263,0.9941,0.9996,0.9998
140000,0.9157,0.9947,0.9997,1.0
160000,0.9047,0.9916,0.999,0.9999
180000,0.9012,0.9919,0.9995,1.0
200000,0.8803,0.9922,0.9991,1.0
220000,0.8756,0.9904,0.9992,0.9999
240000,0.8647,0.9893,0.9987,0.9998
260000,0.8603,0.9907,0.9994,0.9998
280000,0.861,0.9871,0.9995,1.0
300000,0.8523,0.9879,0.999,0.9999
320000,0.8364,0.987,0.9983,0.9999
340000,0.8305,0.9849,0.9985,0.9998
360000,0.8241,0.9854,0.9988,0.9999
380000,0.817,0.9848,0.9991,0.9999
400000,0.8206,0.9869,0.9991,0.9999
420000,0.8121,0.9824,0.9982,0.9999
440000,0.8078,0.9819,0.9989,0.9999
460000,0.8096,0.9806,0.9981,1.0
480000,0.7945,0.9818,0.9975,0.9998
500000,0.8029,0.9801,0.9985,0.9995
520000,0.7856,0.9782,0.9975,0.9999
540000,0.7772,0.9788,0.9974,0.9998
560000,0.7759,0.9809,0.9971,0.9998
580000,0.774,0.9762,0.998,0.9999
600000,0.774,0.9753,0.9981,0.9997
620000,0.7666,0.9748,0.9976,0.9997
640000,0.7571,0.9749,0.9972,0.9999
660000,0.7631,0.9742,0.9971,0.9997
680000,0.7573,0.9757,0.998,0.9996
700000,0.7499,0.9717,0.9978,0.9998
720000,0.7503,0.9696,0.9973,0.9997
740000,0.749,0.9728,0.9968,0.9996
760000,0.7443,0.9698,0.9977,0.9995
780000,0.7418,0.9698,0.9963,0.9998
800000,0.742,0.9693,0.997,0.9996
820000,0.7392,0.9666,0.997,0.9999
840000,0.7254,0.9684,0.9957,0.9999
860000,0.7281,0.9696,0.9964,0.9995
880000,0.7315,0.9661,0.997,0.9997
900000,0.7235,0.9632,0.9967,0.9994
920000,0.7274,0.9665,0.9963,0.9996
940000,0.713,0.9651,0.996,0.9999
960000,0.7221,0.9647,0.996,0.9995
980000,0.7085,0.9621,0.9954,0.9995
1000000,0.7009,0.9601,0.9957,0.9991
