,2,3,4,5
20000,0.9848,0.9993,1.0,1.0
40000,0.9748,0.9981,0.9998,1.0
60000,0.9621,0.9979,0.9999,1.0
80000,0.9472,0.996,0.9997,1.0
100000,0.9376,0.9952,0.9998,1.0
120000,0.9269,0.9958,0.9997,0.9999
140000,0.9131,0.9929,0.9995,1.0
160000,0.9072,0.9943,0.9995,1.0
180000,0.9013,0.9923,0.9991,0.9999
200000,0.893,0.993,0.999,0.9998
220000,0.8809,0.992,0.9992,1.0
240000,0.8701,0.9904,0.9991,1.0
260000,0.8641,0.9905,0.9986,0.9999
280000,0.8667,0.9896,0.9988,0.9999
300000,0.8442,0.9873,0.9993,0.9998
320000,0.844,0.9868,0.9987,0.9999
340000,0.8432,0.9882,0.9985,0.9999
360000,0.8348,0.986,0.9984,0.9997
380000,0.8265,0.985,0.9984,0.9998
400000,0.8208,0.9852,0.9983,0.9999
420000,0.815,0.9844,0.9987,0.9997
440000,0.808,0.9821,0.9982,1.0
460000,0.8035,0.9844,0.9976,0.9998
480000,0.7946,0.9807,0.9983,0.9998
500000,0.7892,0.9822,0.9985,0.9998
520000,0.7912,0.9807,0.9984,0.9995
540000,0.7917,0.976,0.9979,0.9998
560000,0.7866,0.979,0.9974,1.0
580000,0.7734,0.9788,0.9985,0.9996
600000,0.7717,0.9757,0.9979,0.9999
620000,0.7703,0.977,0.9976,1.0
640000,0.7677,0.9768,0.998,0.9997
660000,0.7639,0.9721,0.9979,0.9996
680000,0.7608,0.9742,0.998,1.0
700000,0.7447,0.9746,0.9979,0.9997
720000,0.7466,0.9737,0.9973,1.0
740000,0.7554,0.976,0.9971,0.9996
760000,0.7469,0.9731,0.996,0.9994
780000,0.7421,0.9718,0.9975,0.9997
800000,0.7372,0.9683,0.9969,0.9998
820000,0.7323,0.9706,0.9966,0.9998
840000,0.7382,0.9701,0.9967,0.9998
860000,0.7296,0.9684,0.9972,0.9994
880000,0.7262,0.9693,0.9965,0.9996
900000,0.7315,0.9678,0.9969,0.9992
920000,0.7282,0.966,0.9969,1.0
940000,0.7241,0.9677,0.9965,0.9998
960000,0.7145,0.9698,0.9958,0.9995
980000,0.7093,0.9667,0.9959,0.9995
1000000,0.7108,0.9608,0.9975,0.9998
