,2,3,4,5
20000,0.9841,0.9989,1.0,1.0
40000,0.9739,0.9986,0.9998,1.0
60000,0.9599,0.9978,0.9999,1.0
80000,0.9484,0.9954,0.9998,1.0
100000,0.9373,0.9959,0.9996,1.0
120000,0.9243,0.9953,0.9997,1.0
140000,0.9129,0.9949,0.9995,1.0
160000,0.9052,0.9923,0.9995,0.9997
180000,0.8915,0.9934,0.9995,0.9999
200000,0.8851,0.9931,0.9991,0.9999
220000,0.8786,0.9898,0.9989,1.0
240000,0.8721,0.99,0.9991,0.9998
260000,0.8546,0.9874,0.9991,1.0
280000,0.8524,0.9872,0.999,0.9999
300000,0.8471,0.9873,0.9983,1.0
320000,0.8373,0.9865,0.9985,0.9998
340000,0.8336,0.9854,0.9986,0.9998
360000,0.8244,0.9847,0.9979,0.9998
380000,0.8167,0.9857,0.998,1.0
400000,0.8124,0.9829,0.9976,0.9999
420000,0.8098,0.9851,0.9983,0.9996
440000,0.8002,0.982,0.9978,0.9999
460000,0.8016,0.9786,0.9982,0.9996
480000,0.7992,0.9815,0.9987,0.9997
500000,0.7901,0.9784,0.9981,0.9998
520000,0.786,0.9813,0.9972,0.9999
540000,0.7732,0.9774,0.997,0.9997
560000,0.7786,0.9759,0.998,0.9996
580000,0.7684,0.9764,0.9978,0.9996
600000,0.7704,0.9729,0.9985,0.9996
620000,0.7604,0.9755,0.9978,0.9996
640000,0.765,0.9734,0.9975,0.9997
660000,0.7579,0.9739,0.9982,0.9998
680000,0.7527,0.9745,0.9975,0.9997
700000,0.7497,0.9728,0.9955,0.9998
720000,0.7471,0.9706,0.9976,0.9995
740000,0.7427,0.9687,0.997,0.9996
760000,0.7362,0.9703,0.9975,0.9998
780000,0.7383,0.9697,0.9974,0.9996
800000,0.7322,0.9681,0.9966,0.9993
820000,0.7382,0.9674,0.997,0.9998
840000,0.7391,0.9683,0.9972,0.9997
860000,0.7351,0.9659,0.9966,0.9998
880000,0.7249,0.9666,0.9965,0.9994
900000,0.7145,0.9653,0.9966,0.9996
920000,0.72,0.9667,0.9968,0.9992
940000,0.7184,0.9661,0.9967,1.0
960000,0.7117,0.9624,0.9958,0.9997
980000,0.706,0.9647,0.9959,0.9997
1000000,0.7085,0.9589,0.9966,0.9994
