,2,3,4,5
20000,0.9859,0.999,0.9997,1.0
40000,0.9695,0.9979,0.9998,1.0
60000,0.9622,0.998,1.0,1.0
80000,0.9461,0.9957,0.9994,0.9999
100000,0.9351,0.9957,0.9998,0.9999
120000,0.9242,0.9953,0.9992,1.0
140000,0.9139,0.9931,0.9998,1.0
160000,0.9051,0.9929,0.9997,1.0
180000,0.8971,0.9916,0.9996,0.9998
200000,0.8847,0.9915,0.9993,0.9999
220000,0.8753,0.9893,0.9997,1.0
240000,0.8662,0.9898,0.999,0.9999
260000,0.8618,0.9893,0.999,0.9997
280000,0.8594,0.9893,0.999,0.9998
300000,0.8472,0.9879,0.9986,0.9998
320000,0.8424,0.9852,0.9987,0.9998
340000,0.8366,0.986,0.9991,0.9995
360000,0.8293,0.9823,0.9984,0.9999
380000,0.8238,0.9842,0.9987,0.9998
400000,0.8253,0.9833,0.9978,0.9999
420000,0.8186,0.9823,0.9978,1.0
440000,0.8089,0.9815,0.9984,0.9997
460000,0.7998,0.982,0.9982,1.0
480000,0.7964,0.9819,0.9976,0.9996
500000,0.7843,0.9789,0.9985,0.9998
520000,0.7836,0.9755,0.9983,1.0
540000,0.7866,0.9778,0.9984,0.9996
560000,0.7759,0.9792,0.9979,0.9999
580000,0.774,0.977,0.9976,0.9999
600000,0.7676,0.9754,0.998,0.9998
620000,0.7682,0.9756,0.9988,0.9997
640000,0.7633,0.9754,0.9978,0.9999
660000,0.7582,0.9745,0.9976,0.9995
680000,0.7553,0.9718,0.997,0.9998
700000,0.7523,0.9733,0.9973,0.9996
720000,0.7439,0.9714,0.9973,0.9997
740000,0.75,0.9729,0.9973,0.9997
760000,0.7293,0.9704,0.9974,0.9996
780000,0.7359,0.9679,0.9967,0.9991
800000,0.7422,0.9704,0.9968,0.999
820000,0.7396,0.97,0.9976,0.9995
840000,0.7307,0.9696,0.9972,0.9996
860000,0.7247,0.9674,0.9961,0.9996
880000,0.7203,0.9719,0.9967,0.9997
900000,0.7266,0.9615,0.9962,0.9997
920000,0.7198,0.9627,0.9974,0.9993
940000,0.7092,0.9676,0.9965,0.999
960000,0.7189,0.9674,0.9966,0.9998
980000,0.7135,0.964,0.9965,0.9995
1000000,0.7098,0.9635,0.9955,0.9996
