,2,3,4,5
20000,0.9868,0.9989,1.0,1.0
40000,0.9735,0.9983,0.9999,1.0
60000,0.9591,0.9984,0.9997,0.9999
80000,0.95,0.9968,0.9994,1.0
100000,0.9342,0.9967,0.9992,1.0
120000,0.932,0.9959,0.9994,1.0
140000,0.9204,0.9932,0.9991,0.9999
160000,0.9079,0.9945,0.9997,0.9999
180000,0.894,0.991,0.999,0.9998
200000,0.8866,0.9924,0.9993,0.9999
220000,0.8815,0.9909,0.9994,1.0
240000,0.8642,0.9889,0.9989,0.9999
260000,0.8691,0.9898,0.9989,0.9999
280000,0.8546,0.9891,0.9982,0.9999
300000,0.8424,0.9885,0.9986,0.9999
320000,0.8407,0.9885,0.9987,0.9998
340000,0.8333,0.9854,0.9981,0.9998
360000,0.8337,0.9874,0.9991,0.9998
380000,0.8262,0.9851,0.9976,0.9998
400000,0.8186,0.9855,0.9981,0.9997
420000,0.8134,0.9829,0.9984,0.9997
440000,0.8174,0.9798,0.9976,0.9999
460000,0.8023,0.9843,0.9983,0.9997
480000,0.7979,0.9792,0.998,0.9998
500000,0.7861,0.9788,0.9973,0.9997
520000,0.7819,0.9794,0.9978,0.9999
540000,0.7855,0.9783,0.9983,0.9999
560000,0.7934,0.9793,0.997,0.9998
580000,0.7789,0.9779,0.9971,0.9996
600000,0.7753,0.9786,0.9982,0.9997
620000,0.7698,0.9748,0.9976,0.9997
640000,0.7695,0.9785,0.9974,0.9997
660000,0.7692,0.9752,0.9977,0.9997
680000,0.7586,0.9796,0.9973,0.9998
700000,0.7522,0.9717,0.9978,0.9999
720000,0.7533,0.9735,0.9965,0.9996
740000,0.7389,0.9725,0.9974,0.9995
760000,0.7485,0.9712,0.9965,0.9997
780000,0.7464,0.9699,0.9979,0.9999
800000,0.7424,0.9702,0.9979,0.9992
820000,0.7415,0.969,0.9972,0.9992
840000,0.7336,0.9703,0.9978,0.9994
860000,0.7298,0.9703,0.9962,1.0
880000,0.7348,0.9675,0.9968,0.9997
900000,0.7267,0.9667,0.9953,0.9996
920000,0.7119,0.9648,0.996,0.9996
940000,0.7161,0.966,0.996,0.9993
960000,0.7275,0.9651,0.9964,0.9997
980000,0.7174,0.9671,0.9958,0.9995
1000000,0.709,0.9618,0.9961,0.9993
