,2,3,4,5
20000,0.9864,0.9988,1.0,1.0
40000,0.9713,0.9976,0.9998,1.0
60000,0.9582,0.9971,0.9996,1.0
80000,0.9472,0.9968,0.9994,0.9999
100000,0.9398,0.995,0.9997,1.0
120000,0.9241,0.9954,0.9997,0.9999
140000,0.9184,0.9957,0.9993,1.0
160000,0.9068,0.9936,0.999,1.0
180000,0.9012,0.9935,0.9989,1.0
200000,0.8866,0.9925,0.9991,1.0
220000,0.8733,0.9895,0.9993,1.0
240000,0.8709,0.9904,0.9993,1.0
260000,0.8696,0.9885,0.9993,0.9999
280000,0.8581,0.987,0.9994,1.0
300000,0.8526,0.9883,0.9992,0.9999
320000,0.8414,0.9887,0.9993,1.0
340000,0.8293,0.9873,0.9989,1.0
360000,0.8372,0.9863,0.9981,1.0
380000,0.8213,0.9851,0.9983,0.9998
400000,0.8169,0.9833,0.9986,0.9996
420000,0.8172,0.9835,0.9986,0.9999
440000,0.8061,0.9824,0.9988,0.9999
460000,0.8028,0.9823,0.998,1.0
480000,0.8043,0.9769,0.9987,0.9999
500000,0.7908,0.982,0.9971,0.9997
520000,0.7834,0.98,0.9982,0.9996
540000,0.7925,0.9765,0.9986,0.9999
560000,0.7748,0.9788,0.9976,1.0
580000,0.7765,0.977,0.9974,0.9997
600000,0.7725,0.975,0.9971,0.9996
620000,0.767,0.9786,0.9981,0.9998
640000,0.7624,0.9782,0.9981,0.9999
660000,0.7618,0.9765,0.9971,0.9998
680000,0.7558,0.9764,0.9973,0.9998
700000,0.7565,0.9752,0.9975,0.9999
720000,0.7495,0.9761,0.9971,0.9996
740000,0.7498,0.9727,0.9969,0.9998
760000,0.7405,0.9735,0.9972,0.9998
780000,0.7439,0.9713,0.9973,0.9994
800000,0.743,0.9699,0.9975,0.9994
820000,0.7435,0.9704,0.9974,0.9998
840000,0.735,0.969,0.9967,1.0
860000,0.7251,0.9656,0.9962,0.9995
880000,0.7293,0.9658,0.9968,0.9997
900000,0.7246,0.968,0.9973,0.9996
920000,0.726,0.9677,0.9967,0.9997
940000,0.7287,0.9654,0.9968,0.9999
960000,0.7178,0.9661,0.9965,0.9997
980000,0.7134,0.9647,0.9965,0.9996
1000000,0.7152,0.9612,0.9962,0.9995
