,2,3,4,5
20000,0.9886,0.9988,0.9999,0.9998
40000,0.9715,0.9985,0.9998,1.0
60000,0.9577,0.9974,0.9999,0.9999
80000,0.9494,0.995,0.9997,1.0
100000,0.9385,0.9965,0.9995,1.0
120000,0.9281,0.9945,0.9996,1.0
140000,0.9147,0.9945,0.9994,0.9998
160000,0.9115,0.993,0.9992,1.0
180000,0.8931,0.9924,0.9998,1.0
200000,0.8919,0.9901,0.9991,1.0
220000,0.8831,0.9913,0.9993,1.0
240000,0.8645,0.9891,0.9991,0.9999
260000,0.8584,0.9892,0.9983,1.0
280000,0.8504,0.9873,0.9984,0.9997
300000,0.8491,0.9865,0.9985,1.0
320000,0.8405,0.9864,0.9989,0.9998
340000,0.8342,0.9872,0.9985,1.0
360000,0.836,0.9856,0.9984,0.9998
380000,0.823,0.9851,0.9986,0.9998
400000,0.8227,0.9829,0.9983,0.9998
420000,0.8152,0.9847,0.998,0.9998
440000,0.8078,0.9818,0.998,0.9997
460000,0.7991,0.9818,0.9985,0.9999
480000,0.7968,0.9781,0.9971,0.9997
500000,0.7934,0.978,0.9979,0.9998
520000,0.7868,0.9798,0.9977,0.9996
540000,0.7838,0.9787,0.9983,0.9998
560000,0.7816,0.9761,0.9974,0.9996
580000,0.7761,0.9783,0.998,0.9996
600000,0.7772,0.9769,0.9975,0.9994
620000,0.7697,0.977,0.997,0.9998
640000,0.7611,0.9751,0.9979,0.9995
660000,0.7558,0.9721,0.9973,0.9998
680000,0.7544,0.973,0.9973,0.9997
700000,0.7483,0.9731,0.9966,1.0
720000,0.7517,0.9709,0.9969,0.9999
740000,0.7463,0.9704,0.9963,0.9996
760000,0.7419,0.9725,0.9976,0.9997
780000,0.738,0.971,0.9966,0.9995
800000,0.7393,0.9704,0.997,0.9996
820000,0.7407,0.9691,0.9958,0.9994
840000,0.7373,0.9664,0.9956,0.9995
860000,0.7289,0.9666,0.9966,0.9997
880000,0.7242,0.9678,0.9963,0.9998
900000,0.7238,0.9695,0.9963,0.9997
920000,0.7175,0.9685,0.9964,0.9996
940000,0.7223,0.9661,0.9951,0.9992
960000,0.7166,0.9655,0.9967,0.9998
980000,0.717,0.9619,0.9954,0.9994
1000000,0.714,0.9618,0.9961,0.9995
