,2,3,4,5
20000,0.9841,0.9992,1.0,0.9999
40000,0.9673,0.9972,0.9999,1.0
60000,0.9532,0.9974,0.9997,1.0
80000,0.9369,0.997,0.9997,1.0
100000,0.9251,0.9959,0.9997,0.9999
120000,0.9125,0.9935,0.9991,0.9999
140000,0.9014,0.9931,0.999,1.0
160000,0.8944,0.9918,0.9998,1.0
180000,0.882,0.9905,0.9984,0.9999
200000,0.8755,0.991,0.9994,1.0
220000,0.864,0.9881,0.9991,1.0
240000,0.8565,0.9878,0.9991,0.9999
260000,0.841,0.9866,0.9989,0.9999
280000,0.842,0.9862,0.999,0.9999
300000,0.8299,0.9854,0.998,0.9998
320000,0.8235,0.9835,0.9983,0.9997
340000,0.8192,0.9841,0.9988,0.9998
360000,0.8041,0.9827,0.9971,0.9997
380000,0.7978,0.9815,0.9985,0.9999
400000,0.7954,0.9838,0.998,1.0
420000,0.7982,0.9796,0.9975,0.9999
440000,0.7894,0.9788,0.9975,0.9999
460000,0.7729,0.9802,0.9975,0.9997
480000,0.7841,0.978,0.9981,0.9998
500000,0.7726,0.9762,0.9972,0.9998
520000,0.7631,0.9755,0.9978,0.9998
540000,0.7702,0.9761,0.9974,0.9997
560000,0.761,0.9756,0.9973,0.9999
580000,0.7537,0.9719,0.9975,0.9996
600000,0.7535,0.9736,0.9967,0.9998
620000,0.7486,0.9708,0.9977,0.9997
640000,0.7456,0.9698,0.9968,0.9998
660000,0.7387,0.9696,0.9957,0.9995
680000,0.7407,0.9695,0.998,0.9994
700000,0.7369,0.9689,0.9971,0.9995
720000,0.7325,0.9687,0.9966,0.9995
740000,0.7315,0.9638,0.9957,0.9998
760000,0.7214,0.9664,0.9966,0.9998
780000,0.7175,0.9696,0.9951,0.9995
800000,0.7151,0.9641,0.9971,0.9999
820000,0.7144,0.9642,0.9962,0.9996
840000,0.715,0.9629,0.9958,0.9995
860000,0.718,0.9642,0.9961,0.9998
880000,0.7133,0.9619,0.9962,0.9996
900000,0.7064,0.9632,0.997,0.9991
920000,0.7055,0.9612,0.9964,0.9994
940000,0.7065,0.9603,0.9958,0.9997
960000,0.6927,0.9595,0.9948,0.9995
980000,0.6979,0.958,0.9957,0.9996
1000000,0.6911,0.956,0.9964,0.9997
