,2,3,4,5
20000,0.9866,0.9983,0.9999,1.0
40000,0.9713,0.999,0.9997,1.0
60000,0.9578,0.998,0.9997,0.9999
80000,0.9504,0.9972,0.9996,0.9998
100000,0.9332,0.9954,0.9996,1.0
120000,0.9245,0.9938,0.9996,1.0
140000,0.9127,0.9943,0.9994,1.0
160000,0.9057,0.9944,0.9996,0.9999
180000,0.8929,0.9927,0.9996,1.0
200000,0.882,0.9919,0.9993,0.9998
220000,0.8746,0.9918,0.999,0.9999
240000,0.8665,0.9894,0.9991,0.9999
260000,0.8593,0.9898,0.999,1.0
280000,0.8501,0.9888,0.9986,0.9998
300000,0.8516,0.9875,0.9984,0.9997
320000,0.8336,0.9884,0.9988,0.9998
340000,0.8405,0.9865,0.9989,0.9999
360000,0.8274,0.9847,0.9985,0.9999
380000,0.8243,0.9846,0.9987,0.9998
400000,0.8193,0.9854,0.9983,0.9999
420000,0.8119,0.9843,0.9972,1.0
440000,0.8064,0.9822,0.998,0.9998
460000,0.7948,0.9807,0.9984,0.9999
480000,0.7984,0.981,0.9982,0.9998
500000,0.7954,0.978,0.9964,0.9996
520000,0.7898,0.9779,0.9983,0.9999
540000,0.7829,0.9792,0.9977,0.9998
560000,0.776,0.9793,0.9964,1.0
580000,0.7753,0.9777,0.9973,0.9997
600000,0.7663,0.9768,0.9984,0.9999
620000,0.7679,0.9764,0.9978,0.9995
640000,0.7615,0.9771,0.9971,0.9999
660000,0.7527,0.9736,0.9975,0.9995
680000,0.755,0.9749,0.9972,0.9999
700000,0.7479,0.9744,0.9975,0.9992
720000,0.7555,0.9747,0.9967,0.9998
740000,0.742,0.9741,0.9978,0.9999
760000,0.7424,0.9726,0.9963,0.9998
780000,0.7393,0.9699,0.9967,0.9997
800000,0.7363,0.9694,0.9977,0.9996
820000,0.7316,0.9678,0.9958,0.9996
840000,0.7292,0.9699,0.9954,0.9999
860000,0.7326,0.9676,0.9967,0.9994
880000,0.73,0.9663,0.9979,0.9994
900000,0.7193,0.9688,0.997,0.9999
920000,0.7265,0.9664,0.9967,0.9993
940000,0.7098,0.9663,0.9957,0.9996
960000,0.7112,0.9647,0.9957,0.9991
980000,0.7201,0.9678,0.9963,0.9996
1000000,0.7033,0.9654,0.9957,0.9992
