,2,3,4,5
20000,0.9855,0.9991,1.0,1.0
40000,0.9719,0.9981,0.9999,1.0
60000,0.9577,0.9966,0.9999,1.0
80000,0.9482,0.9968,0.9998,1.0
100000,0.9406,0.9963,0.9995,1.0
120000,0.9262,0.995,0.9994,0.9999
140000,0.914,0.9947,0.9995,1.0
160000,0.9118,0.9927,0.9996,1.0
180000,0.8947,0.9917,0.9994,1.0
200000,0.8865,0.9909,0.9993,1.0
220000,0.8761,0.991,0.9995,1.0
240000,0.8755,0.9902,0.9994,0.9999
260000,0.8669,0.99,0.9991,0.9999
280000,0.8581,0.9883,0.9988,0.9998
300000,0.8553,0.9897,0.999,0.9997
320000,0.8343,0.9875,0.9997,0.9999
340000,0.8357,0.9855,0.9986,0.9998
360000,0.8355,0.9856,0.9995,0.9998
380000,0.8331,0.9861,0.9981,0.9998
400000,0.8157,0.983,0.999,0.9999
420000,0.815,0.9822,0.9987,0.9998
440000,0.8077,0.9833,0.9989,1.0
460000,0.8,0.9823,0.9978,0.9998
480000,0.7971,0.9798,0.998,1.0
500000,0.7952,0.9802,0.9982,0.9998
520000,0.7847,0.9795,0.9982,0.9998
540000,0.7906,0.9775,0.9978,1.0
560000,0.7828,0.9802,0.9983,0.9998
580000,0.7832,0.975,0.9973,0.9997
600000,0.7732,0.9789,0.9982,0.9998
620000,0.7684,0.978,0.9975,0.9997
640000,0.7677,0.9748,0.9976,0.9995
660000,0.7623,0.9752,0.9967,0.9998
680000,0.7588,0.9745,0.9971,0.9999
700000,0.7536,0.9731,0.9979,1.0
720000,0.7545,0.9743,0.9974,0.9999
740000,0.7474,0.9714,0.9973,0.9997
760000,0.7511,0.9723,0.9966,0.9998
780000,0.7439,0.9716,0.9959,0.9995
800000,0.7395,0.9717,0.998,0.9996
820000,0.7419,0.9697,0.9966,0.9996
840000,0.7348,0.9694,0.9974,0.9997
860000,0.7238,0.9692,0.998,0.9996
880000,0.7283,0.9696,0.9961,0.9996
900000,0.7326,0.9665,0.9966,0.9995
920000,0.7289,0.969,0.9968,0.9998
940000,0.7198,0.9688,0.9967,0.9997
960000,0.7142,0.9677,0.9958,0.9999
980000,0.7305,0.9614,0.9963,0.9995
1000000,0.7116,0.9625,0.9951,0.9997
