,2,3,4,5
20000,0.9861,0.999,0.9999,1.0
40000,0.9751,0.9981,1.0,1.0
60000,0.962,0.9981,0.9995,1.0
80000,0.9458,0.9972,0.9992,1.0
100000,0.9401,0.9967,0.9998,1.0
120000,0.9321,0.9953,0.9995,1.0
140000,0.9213,0.9947,0.9992,1.0
160000,0.9025,0.993,0.9997,0.9998
180000,0.8972,0.9936,0.9987,1.0
200000,0.8834,0.9909,0.9995,0.9999
220000,0.8823,0.9916,0.999,0.9999
240000,0.873,0.9916,0.9984,0.9999
260000,0.864,0.9903,0.9986,0.9999
280000,0.8654,0.9872,0.9986,0.9996
300000,0.8506,0.988,0.9993,1.0
320000,0.8392,0.9874,0.9983,0.9998
340000,0.839,0.9863,0.9983,0.9996
360000,0.8377,0.9848,0.9984,1.0
380000,0.8286,0.9846,0.9982,1.0
400000,0.8202,0.986,0.9984,0.9999
420000,0.8098,0.9849,0.9985,0.9996
440000,0.8092,0.9832,0.9982,0.9999
460000,0.8008,0.9835,0.9979,0.9999
480000,0.802,0.9806,0.998,0.9999
500000,0.7863,0.9774,0.9976,0.9995
520000,0.7799,0.9795,0.9986,0.9997
540000,0.7827,0.9771,0.998,0.9998
560000,0.7791,0.9781,0.9975,0.9998
580000,0.7732,0.9773,0.9982,0.9998
600000,0.7761,0.9783,0.9981,0.9997
620000,0.766,0.9784,0.9973,0.9998
640000,0.7619,0.9759,0.9978,0.9997
660000,0.7589,0.9768,0.998,0.9999
680000,0.7626,0.9715,0.9972,0.9994
700000,0.7546,0.9738,0.9968,0.9993
720000,0.7582,0.9722,0.9974,0.9997
740000,0.7549,0.969,0.9971,0.9997
760000,0.7383,0.9723,0.9974,0.9996
780000,0.7382,0.9682,0.997,0.9994
800000,0.744,0.9681,0.9974,0.9993
820000,0.7384,0.9694,0.9962,0.9996
840000,0.7338,0.9683,0.9966,0.9997
860000,0.7284,0.9658,0.9961,0.9994
880000,0.7309,0.9676,0.9972,0.9995
900000,0.7312,0.9657,0.9968,0.9992
920000,0.7294,0.9677,0.9964,0.9998
940000,0.7199,0.9662,0.9968,0.9995
960000,0.7134,0.9642,0.9971,0.9997
980000,0.7231,0.9659,0.9958,0.9994
1000000,0.7108,0.9616,0.9957,0.9996
