,2,3,4,5
20000,0.9841,0.9995,0.9998,1.0
40000,0.9739,0.9982,0.9999,1.0
60000,0.9607,0.9969,0.9998,1.0
80000,0.9454,0.9971,0.9996,1.0
100000,0.9388,0.9956,0.9998,1.0
120000,0.9242,0.9951,0.9996,1.0
140000,0.9168,0.9932,0.9993,0.9999
160000,0.911,0.9937,0.9996,0.9998
180000,0.8966,0.994,0.9994,0.9998
200000,0.8845,0.991,0.9992,0.9998
220000,0.8814,0.9919,0.9992,1.0
240000,0.8668,0.9904,0.9992,0.9999
260000,0.8687,0.9892,0.9994,0.9999
280000,0.8562,0.9897,0.9987,0.9999
300000,0.8478,0.988,0.9993,0.9997
320000,0.8463,0.9865,0.9995,1.0
340000,0.842,0.9842,0.9985,0.9999
360000,0.8368,0.9841,0.9987,1.0
380000,0.8238,0.9866,0.9985,0.9998
400000,0.8174,0.9833,0.9985,0.9999
420000,0.8209,0.9842,0.9981,0.9998
440000,0.8078,0.9825,0.9975,0.9996
460000,0.8024,0.9821,0.998,1.0
480000,0.7938,0.9826,0.9978,0.9996
500000,0.7939,0.9785,0.9974,0.9999
520000,0.7916,0.9787,0.9978,0.9999
540000,0.786,0.98,0.9976,0.9998
560000,0.7797,0.9774,0.9977,0.9997
580000,0.779,0.9778,0.9981,0.9998
600000,0.7764,0.9769,0.9978,0.9996
620000,0.7673,0.9784,0.9978,0.9998
640000,0.7712,0.9742,0.9982,0.9998
660000,0.7573,0.9769,0.9978,0.9998
680000,0.7527,0.9741,0.9971,0.9997
700000,0.7492,0.9716,0.997,0.9997
720000,0.7484,0.9741,0.9966,0.9997
740000,0.7423,0.9738,0.9975,0.9999
760000,0.7517,0.9696,0.9975,0.9999
780000,0.7378,0.9679,0.9972,0.9999
800000,0.7357,0.9706,0.9974,0.9999
820000,0.7364,0.9692,0.9982,0.9998
840000,0.7318,0.9702,0.9972,0.9995
860000,0.7267,0.9679,0.998,0.9997
880000,0.7219,0.968,0.9978,0.9998
900000,0.7244,0.968,0.9967,0.9997
920000,0.7215,0.9686,0.9975,0.9997
940000,0.7171,0.9683,0.9961,0.9996
960000,0.7208,0.9627,0.9968,0.9997
980000,0.7243,0.9638,0.9966,0.9991
1000000,0.7138,0.9646,0.9971,0.9998
