,2,3,4,5
20000,0.9858,0.9991,0.9999,1.0
40000,0.9742,0.9985,0.9999,1.0
60000,0.9576,0.9968,0.9996,1.0
80000,0.9503,0.9963,0.9997,1.0
100000,0.9379,0.9963,0.9998,1.0
120000,0.9282,0.9945,0.9993,0.9999
140000,0.9224,0.9932,0.9995,0.9999
160000,0.9048,0.994,0.9992,1.0
180000,0.9022,0.9921,0.9997,1.0
200000,0.8917,0.9927,0.9991,1.0
220000,0.8792,0.9914,0.9996,1.0
240000,0.8698,0.9898,0.9993,1.0
260000,0.8699,0.9891,0.9992,1.0
280000,0.8518,0.9892,0.9984,0.9997
300000,0.8546,0.987,0.9987,1.0
320000,0.845,0.9875,0.9984,1.0
340000,0.8384,0.9859,0.9985,0.9999
360000,0.8324,0.9849,0.9982,0.9999
380000,0.8251,0.9841,0.9982,0.9999
400000,0.8152,0.9868,0.998,0.9998
420000,0.8151,0.981,0.9988,0.9994
440000,0.8072,0.9838,0.998,0.9998
460000,0.811,0.9811,0.9987,0.9997
480000,0.8037,0.9828,0.9984,0.9999
500000,0.792,0.9817,0.9977,1.0
520000,0.7851,0.9791,0.9985,0.9996
540000,0.7843,0.9772,0.9982,1.0
560000,0.7847,0.9782,0.9974,0.9998
580000,0.7757,0.9792,0.9976,1.0
600000,0.7707,0.9773,0.9977,0.9996
620000,0.7645,0.9753,0.9978,0.9998
640000,0.7649,0.9768,0.998,0.9998
660000,0.7627,0.9756,0.9977,0.9995
680000,0.7671,0.9764,0.9972,0.9999
700000,0.7558,0.9743,0.9974,0.9998
720000,0.7511,0.9744,0.9976,0.9997
740000,0.746,0.9706,0.9969,0.9997
760000,0.749,0.9724,0.9969,0.9998
780000,0.7453,0.9685,0.9972,0.9998
800000,0.7395,0.9675,0.9967,0.9993
820000,0.7361,0.9697,0.9957,0.9996
840000,0.7326,0.9675,0.9969,0.9997
860000,0.7229,0.9649,0.9968,0.9995
880000,0.7247,0.9689,0.997,0.9999
900000,0.725,0.9683,0.9971,0.9995
920000,0.7286,0.9707,0.9966,0.9999
940000,0.718,0.967,0.9972,0.9995
960000,0.717,0.9657,0.9966,0.9996
980000,0.7271,0.9651,0.9969,0.9995
1000000,0.7087,0.9654,0.9969,0.9997
