,2,3,4,5
20000,0.9852,0.9989,0.9996,0.9999
40000,0.9707,0.998,0.9999,1.0
60000,0.9618,0.9971,1.0,0.9998
80000,0.9466,0.9958,0.9997,0.9999
100000,0.9388,0.9951,0.9997,1.0
120000,0.9268,0.995,0.9994,1.0
140000,0.9115,0.9946,0.9995,0.9999
160000,0.91,0.994,0.9995,0.9999
180000,0.894,0.9918,0.9993,0.9999
200000,0.8826,0.9914,0.9994,0.9998
220000,0.8781,0.9909,0.9992,0.9999
240000,0.8667,0.9885,0.9996,1.0
260000,0.8665,0.9896,0.9991,0.9999
280000,0.858,0.988,0.999,0.9998
300000,0.8509,0.9849,0.9992,1.0
320000,0.8424,0.9873,0.9985,0.9999
340000,0.8281,0.9846,0.999,0.9998
360000,0.8282,0.9845,0.9982,0.9998
380000,0.8205,0.9843,0.9975,1.0
400000,0.8225,0.9827,0.9987,0.9999
420000,0.8092,0.9841,0.9981,0.9999
440000,0.805,0.9854,0.9978,0.9999
460000,0.7972,0.9812,0.9987,1.0
480000,0.7969,0.9824,0.9981,1.0
500000,0.7947,0.9776,0.9985,0.9999
520000,0.791,0.9793,0.9976,0.9999
540000,0.7824,0.9806,0.9971,0.9995
560000,0.789,0.9794,0.9984,0.9999
580000,0.78,0.9782,0.9973,0.9998
600000,0.7725,0.9775,0.9978,0.9996
620000,0.7635,0.9755,0.9981,0.9995
640000,0.7571,0.973,0.9982,0.9994
660000,0.7532,0.9746,0.9971,1.0
680000,0.751,0.9728,0.997,0.9998
700000,0.7459,0.9727,0.9964,0.9996
720000,0.7453,0.9733,0.9969,0.9995
740000,0.7483,0.973,0.9968,0.9998
760000,0.7428,0.9721,0.9977,0.9995
780000,0.7525,0.9704,0.9966,0.9997
800000,0.7308,0.9705,0.9963,0.9996
820000,0.7378,0.9677,0.9962,0.9999
840000,0.7363,0.9699,0.9961,0.9999
860000,0.729,0.9673,0.9964,0.9997
880000,0.7258,0.9649,0.9967,0.9996
900000,0.7307,0.9652,0.9964,0.9997
920000,0.7226,0.9615,0.9954,0.9995
940000,0.7165,0.9622,0.9957,0.9996
960000,0.7123,0.963,0.9961,0.9995
980000,0.7138,0.9654,0.996,0.9998
1000000,0.7163,0.9619,0.9966,0.9998
