,2,3,4,5
20000,0.9846,0.9989,0.9999,1.0
40000,0.9724,0.9979,0.9999,0.9999
60000,0.9575,0.9978,0.9996,1.0
80000,0.9471,0.9968,0.9998,1.0
100000,0.9328,0.9948,0.9994,1.0
120000,0.9277,0.9931,0.9996,1.0
140000,0.9169,0.9922,0.9998,1.0
160000,0.9075,0.9926,0.9994,1.0
180000,0.894,0.9923,0.9991,0.9998
200000,0.8888,0.9923,0.9993,1.0
220000,0.8815,0.9901,0.9991,1.0
240000,0.8668,0.9897,0.9985,0.9999
260000,0.8601,0.9887,0.9989,0.9998
280000,0.8538,0.9877,0.999,0.9999
300000,0.8431,0.988,0.9993,0.9998
320000,0.8453,0.9881,0.9988,1.0
340000,0.8317,0.9877,0.9991,0.9997
360000,0.8259,0.9848,0.9986,0.9998
380000,0.818,0.9824,0.999,0.9998
400000,0.817,0.9816,0.9987,0.9995
420000,0.8149,0.982,0.9986,0.9998
440000,0.8078,0.9835,0.9982,0.9999
460000,0.7924,0.9824,0.9979,0.9998
480000,0.7857,0.9804,0.9968,0.9997
500000,0.7839,0.9791,0.9982,0.9997
520000,0.7832,0.9798,0.9984,0.9998
540000,0.7823,0.9789,0.9986,0.9998
560000,0.7787,0.9778,0.9979,0.9998
580000,0.7689,0.9798,0.9977,0.9997
600000,0.7649,0.9761,0.9976,0.9998
620000,0.7676,0.9757,0.9974,0.9997
640000,0.7643,0.9779,0.997,0.9996
660000,0.7619,0.9725,0.9976,0.9995
680000,0.7509,0.9753,0.9965,0.9998
700000,0.7472,0.9738,0.9981,0.9996
720000,0.7453,0.9737,0.9981,0.9996
740000,0.7537,0.973,0.9977,0.9995
760000,0.7387,0.9708,0.9962,0.9997
780000,0.7431,0.9674,0.997,0.9995
800000,0.7359,0.9708,0.9966,0.9994
820000,0.7321,0.9714,0.9968,0.9995
840000,0.7308,0.9709,0.9973,0.9998
860000,0.725,0.9689,0.9966,0.9997
880000,0.7259,0.9644,0.997,0.9996
900000,0.7261,0.9655,0.9955,0.9994
920000,0.7205,0.9643,0.9954,0.9994
940000,0.7224,0.9668,0.9969,0.9995
960000,0.7201,0.9676,0.9973,0.9997
980000,0.7091,0.9653,0.9973,0.9998
1000000,0.7107,0.9639,0.9968,0.9992
