,2,3,4,5
20000,0.987,0.9986,0.9999,1.0
40000,0.9756,0.9981,0.9999,0.9999
60000,0.9601,0.998,0.9996,0.9999
80000,0.9487,0.9969,0.9996,1.0
100000,0.9363,0.9967,0.9996,1.0
120000,0.9333,0.995,0.9995,1.0
140000,0.9156,0.9945,0.9997,0.9999
160000,0.9051,0.9937,0.9994,1.0
180000,0.8968,0.9932,0.9992,1.0
200000,0.8926,0.9915,0.9991,0.9997
220000,0.8813,0.9915,0.9995,1.0
240000,0.869,0.9914,0.9987,0.9999
260000,0.8659,0.9904,0.9992,0.9998
280000,0.8568,0.9876,0.9986,0.9999
300000,0.8498,0.9868,0.9985,1.0
320000,0.8369,0.9873,0.9986,0.9999
340000,0.8347,0.9862,0.9985,0.9998
360000,0.8271,0.984,0.9986,0.9999
380000,0.8182,0.9857,0.9982,0.9998
400000,0.8199,0.982,0.9985,0.9999
420000,0.8121,0.9836,0.9991,0.9999
440000,0.8072,0.9841,0.9988,0.9994
460000,0.8023,0.9811,0.9986,0.9996
480000,0.798,0.9793,0.9979,0.9993
500000,0.7906,0.979,0.9989,0.9997
520000,0.7833,0.9818,0.9976,0.9996
540000,0.7814,0.9787,0.9982,0.9996
560000,0.7767,0.9777,0.9982,0.9998
580000,0.7735,0.9778,0.9978,0.9995
600000,0.7708,0.9787,0.9971,0.9997
620000,0.7649,0.9782,0.9978,0.9994
640000,0.7673,0.9746,0.9981,0.9995
660000,0.7575,0.9768,0.9968,0.9998
680000,0.7576,0.9751,0.9965,0.9998
700000,0.753,0.9745,0.9982,0.9997
720000,0.7528,0.9745,0.9974,0.9995
740000,0.7507,0.97,0.9967,0.9998
760000,0.7511,0.9705,0.997,0.9996
780000,0.7465,0.9715,0.9973,0.9998
800000,0.7327,0.972,0.9966,0.9997
820000,0.7362,0.9672,0.9976,0.9993
840000,0.7388,0.9697,0.9967,0.9998
860000,0.7198,0.9648,0.997,0.9998
880000,0.7298,0.9672,0.9965,0.9996
900000,0.7257,0.9691,0.9961,0.9997
920000,0.7215,0.9694,0.9967,0.9995
940000,0.7243,0.9695,0.9964,0.9998
960000,0.7124,0.9624,0.9965,1.0
980000,0.7229,0.9663,0.9969,0.9995
1000000,0.7052,0.9633,0.9967,0.9996
