,2,3,4,5
20000,0.9842,0.999,0.9998,1.0
40000,0.9718,0.9986,1.0,1.0
60000,0.96,0.9974,0.9999,0.9999
80000,0.9438,0.9965,0.9999,0.9999
100000,0.9338,0.9947,0.9996,0.9999
120000,0.9245,0.9927,0.9998,0.9999
140000,0.9178,0.9935,0.9995,1.0
160000,0.9042,0.9928,0.9992,1.0
180000,0.8937,0.9924,0.9992,1.0
200000,0.8861,0.992,0.9995,1.0
220000,0.8803,0.9921,0.9992,1.0
240000,0.8723,0.99,0.9992,0.9998
260000,0.863,0.988,0.9987,0.9998
280000,0.8544,0.9869,0.9989,0.9999
300000,0.8529,0.9868,0.999,1.0
320000,0.8416,0.986,0.9985,0.9996
340000,0.8306,0.9834,0.9991,0.9996
360000,0.8265,0.9859,0.9987,0.9997
380000,0.826,0.985,0.9981,0.9998
400000,0.8206,0.984,0.9978,0.9998
420000,0.8146,0.9827,0.9989,0.9998
440000,0.8007,0.9814,0.9986,1.0
460000,0.7989,0.982,0.9978,0.9998
480000,0.7962,0.9799,0.9977,1.0
500000,0.7986,0.9806,0.9983,0.9998
520000,0.7834,0.9779,0.9967,0.9996
540000,0.7854,0.9772,0.9983,0.9999
560000,0.7808,0.9787,0.9976,0.9997
580000,0.7701,0.9768,0.9978,0.9999
600000,0.768,0.9766,0.9981,0.9998
620000,0.7587,0.976,0.9977,0.9996
640000,0.7696,0.9752,0.9979,0.9999
660000,0.7598,0.9741,0.9977,0.9998
680000,0.7605,0.9748,0.998,0.9995
700000,0.7547,0.9739,0.9963,0.9996
720000,0.7501,0.9721,0.9975,0.9999
740000,0.7475,0.975,0.9965,0.9994
760000,0.7456,0.9696,0.9967,0.9999
780000,0.7451,0.9688,0.9962,0.9995
800000,0.7337,0.9694,0.9964,0.9997
820000,0.7322,0.9688,0.9968,0.9998
840000,0.7252,0.9674,0.9957,0.9998
860000,0.7278,0.9702,0.996,0.9997
880000,0.7283,0.968,0.9966,0.9994
900000,0.722,0.9649,0.9968,0.9997
920000,0.7257,0.9672,0.996,0.9998
940000,0.7233,0.966,0.9967,0.9997
960000,0.7204,0.9664,0.9966,0.9993
980000,0.7211,0.9675,0.9952,0.9999
1000000,0.7147,0.963,0.9968,0.9998
